,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0648539543151856,0.28764452195496104,0.0009996891021728516,0.0012244452732793562,0.0001,"(50,)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.5466893039049237,0.5738539898132428,0.5840407470288624,0.5398981324278438,0.5144312393887945,0.5517826825127334,0.02485976939588879,40
1,1.0465384006500245,0.31576836734907654,0.0028246402740478515,0.0018047994701995765,0.0001,"(50,)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 1000}",0.5466893039049237,0.5738539898132428,0.5840407470288624,0.5398981324278438,0.5144312393887945,0.5517826825127334,0.02485976939588879,40
2,1.0815992832183838,0.2572799288652977,0.0035967350006103514,0.003718493937436849,0.0001,"(50,)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 1500}",0.5466893039049237,0.5738539898132428,0.5840407470288624,0.5398981324278438,0.5144312393887945,0.5517826825127334,0.02485976939588879,40
3,2.687595510482788,0.7936874474370206,0.002337026596069336,0.0022054120158070244,0.0001,"(100, 50)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5483870967741935,0.5721561969439728,0.6112054329371817,0.5704584040747029,0.5093378607809848,0.5623089983022072,0.033328672964867585,1
4,2.7124939441680906,0.78887008773779,0.003347492218017578,0.0023202321505614455,0.0001,"(100, 50)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 1000}",0.5483870967741935,0.5721561969439728,0.6112054329371817,0.5704584040747029,0.5093378607809848,0.5623089983022072,0.033328672964867585,1
5,2.828803825378418,0.8712352341980147,0.0027187824249267577,0.0030739254667763076,0.0001,"(100, 50)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 1500}",0.5483870967741935,0.5721561969439728,0.6112054329371817,0.5704584040747029,0.5093378607809848,0.5623089983022072,0.033328672964867585,1
6,9.97715973854065,2.8659860327164366,0.007460689544677735,0.003554817856595986,0.0001,"(100, 100, 100)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 500}",0.5195246179966044,0.5297113752122241,0.5382003395585738,0.533106960950764,0.5195246179966044,0.5280135823429541,0.007439355619764555,94
7,10.044420671463012,2.8934675320591947,0.006496143341064453,0.004180998787607797,0.0001,"(100, 100, 100)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1000}",0.5195246179966044,0.5297113752122241,0.5382003395585738,0.533106960950764,0.5195246179966044,0.5280135823429541,0.007439355619764555,94
8,9.938692045211791,2.8544202654374806,0.003875875473022461,0.0020548178768153656,0.0001,"(100, 100, 100)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1500}",0.5195246179966044,0.5297113752122241,0.5382003395585738,0.533106960950764,0.5195246179966044,0.5280135823429541,0.007439355619764555,94
9,2.9711822032928468,0.9955531895240015,0.0037613868713378905,0.0029382793038847236,0.0001,"(50, 50, 50)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 500}",0.5415959252971138,0.5314091680814941,0.533106960950764,0.5619694397283531,0.49575551782682514,0.53276740237691,0.021459457126417593,82
10,2.82039737701416,0.9690180723969786,0.002021455764770508,0.0017833321332527282,0.0001,"(50, 50, 50)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1000}",0.5415959252971138,0.5314091680814941,0.533106960950764,0.5619694397283531,0.49575551782682514,0.53276740237691,0.021459457126417593,82
11,2.7943225383758543,1.0046033739420934,0.0004222393035888672,0.0006061079725124341,0.0001,"(50, 50, 50)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1500}",0.5415959252971138,0.5314091680814941,0.533106960950764,0.5619694397283531,0.49575551782682514,0.53276740237691,0.021459457126417593,82
12,5.657594490051269,1.2140404504003197,0.004671430587768555,0.001547551071159526,0.0001,"(50, 100, 50)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 500}",0.5500848896434635,0.5551782682512734,0.568760611205433,0.5382003395585738,0.5212224108658744,0.5466893039049237,0.01607084491164582,55
13,5.7489705085754395,1.1872074012012437,0.004567527770996093,0.0027813103778726853,0.0001,"(50, 100, 50)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1000}",0.5500848896434635,0.5551782682512734,0.568760611205433,0.5382003395585738,0.5212224108658744,0.5466893039049237,0.01607084491164582,55
14,5.719711446762085,1.0954957921182003,0.0033635616302490233,0.002863186981034278,0.0001,"(50, 100, 50)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1500}",0.5500848896434635,0.5551782682512734,0.568760611205433,0.5382003395585738,0.5212224108658744,0.5466893039049237,0.01607084491164582,55
15,1.3457587718963624,0.2774991712323498,0.0034768104553222655,0.0032658315480127128,0.0001,"(100,)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.5534804753820034,0.5823429541595926,0.5534804753820034,0.5517826825127334,0.5382003395585738,0.5558573853989813,0.014430240652547244,16
16,1.2824888706207276,0.2567649920160369,0.0021588802337646484,0.0019372714342652218,0.0001,"(100,)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 1000}",0.5534804753820034,0.5823429541595926,0.5534804753820034,0.5517826825127334,0.5382003395585738,0.5558573853989813,0.014430240652547244,16
17,1.2503000736236571,0.24776815143945422,0.006340932846069336,0.0032141662417173394,0.0001,"(100,)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 1500}",0.5534804753820034,0.5823429541595926,0.5534804753820034,0.5517826825127334,0.5382003395585738,0.5558573853989813,0.014430240652547244,16
18,1.2153754234313965,0.19084330113982337,0.0031335830688476564,0.003244296828596104,0.001,"(50,)",500,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.5619694397283531,0.5789473684210527,0.5721561969439728,0.5382003395585738,0.5127334465195246,0.5528013582342954,0.02433476790107834,34
19,1.1861083984375,0.1827870107204847,0.004269218444824219,0.0015832819215811232,0.001,"(50,)",1000,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 1000}",0.5619694397283531,0.5789473684210527,0.5721561969439728,0.5382003395585738,0.5127334465195246,0.5528013582342954,0.02433476790107834,34
20,1.2148511409759521,0.1739142174215109,0.0024900913238525392,0.0015320978644201805,0.001,"(50,)",1500,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 1500}",0.5619694397283531,0.5789473684210527,0.5721561969439728,0.5382003395585738,0.5127334465195246,0.5528013582342954,0.02433476790107834,34
