,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.026047897338867188,0.0024152755737304687,0.008886289596557618,0.000421142578125,1,1,10,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 10}",0.5076400679117148,0.4295415959252971,0.5432937181663837,0.44991511035653653,0.4601018675721562,0.47809847198641764,0.04147065437221603,119
1,0.25026521682739256,0.012713746495027843,0.016971492767333986,0.0037098139312423542,1,1,100,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 100}",0.4533106960950764,0.466893039049236,0.5297113752122241,0.44821731748726656,0.4363327674023769,0.46689303904923596,0.03290390912156371,120
2,0.4281012535095215,0.022979504083251237,0.028853130340576173,0.001992975704844403,1,1,200,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 200}",0.47538200339558573,0.5449915110356537,0.5398981324278438,0.5263157894736842,0.4363327674023769,0.5045840407470289,0.042102524693246275,118
3,0.029312276840209962,0.005467278027847636,0.005234956741333008,0.0033225017955888394,1,2,10,"{'max_depth': 1, 'max_features': 2, 'n_estimators': 10}",0.5127334465195246,0.5415959252971138,0.5212224108658744,0.5059422750424448,0.5127334465195246,0.5188455008488966,0.012364781973536939,114
4,0.21365928649902344,0.0243640826369555,0.011911392211914062,0.004698442865390826,1,2,100,"{'max_depth': 1, 'max_features': 2, 'n_estimators': 100}",0.5449915110356537,0.5534804753820034,0.5432937181663837,0.5246179966044142,0.5246179966044142,0.5382003395585738,0.011614690238700924,94
5,0.3832037925720215,0.026455522893271972,0.024534130096435548,0.004932768839353091,1,2,200,"{'max_depth': 1, 'max_features': 2, 'n_estimators': 200}",0.5415959252971138,0.5534804753820034,0.5449915110356537,0.5263157894736842,0.5314091680814941,0.5395585738539899,0.009687838789600762,92
6,0.021894502639770507,0.002101955798133419,0.005092525482177734,0.0032171065603129197,1,3,10,"{'max_depth': 1, 'max_features': 3, 'n_estimators': 10}",0.5127334465195246,0.5568760611205433,0.5127334465195246,0.5246179966044142,0.533106960950764,0.5280135823429541,0.016355306728410623,97
7,0.1979769229888916,0.021110566282748423,0.011751651763916016,0.004586249769540767,1,3,100,"{'max_depth': 1, 'max_features': 3, 'n_estimators': 100}",0.5127334465195246,0.5432937181663837,0.5432937181663837,0.5008488964346349,0.5144312393887945,0.5229202037351443,0.01728082940577181,101
8,0.3523557186126709,0.017057197121582036,0.020858144760131835,0.003872990167835519,1,3,200,"{'max_depth': 1, 'max_features': 3, 'n_estimators': 200}",0.5127334465195246,0.5534804753820034,0.5280135823429541,0.5246179966044142,0.5161290322580645,0.5269949066213921,0.014350116542693012,99
9,0.022515058517456055,0.001724777400016396,0.003717803955078125,0.005641738559330125,1,4,10,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 10}",0.5127334465195246,0.5178268251273345,0.5280135823429541,0.5195246179966044,0.5161290322580645,0.5188455008488965,0.005104684678564664,115
10,0.18499093055725097,0.0150644890706766,0.011447906494140625,0.0009811551003368092,1,4,100,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 100}",0.5110356536502547,0.5432937181663837,0.5449915110356537,0.5008488964346349,0.5161290322580645,0.5232597623089983,0.017754725246046026,100
11,0.3416428089141846,0.006471528535657321,0.02186555862426758,0.002160970916744634,1,4,200,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 200}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.5008488964346349,0.5144312393887945,0.5198641765704584,0.014541672737089232,104
12,0.019669818878173827,0.0013038747452453496,0.003636884689331055,0.0029833989691007076,1,5,10,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 10}",0.5127334465195246,0.5178268251273345,0.5127334465195246,0.499151103565365,0.5161290322580645,0.5117147707979626,0.006584285035540004,117
13,0.16836471557617189,0.0019179041868972913,0.012983179092407227,0.00326436933373697,1,5,100,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 100}",0.5110356536502547,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5161290322580645,0.5195246179966044,0.015071199335261222,108
14,0.34570112228393557,0.0036299624952962476,0.01984882354736328,0.001083510496885673,1,5,200,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 200}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5144312393887945,0.5195246179966044,0.01499450062194882,108
15,0.026015520095825195,0.004284527815411651,0.0019400596618652343,0.00338450552035672,1,6,10,"{'max_depth': 1, 'max_features': 6, 'n_estimators': 10}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.5008488964346349,0.5144312393887945,0.5198641765704584,0.014541672737089232,104
16,0.17842273712158202,0.002046390935971603,0.011682558059692382,0.0029790358751349577,1,6,100,"{'max_depth': 1, 'max_features': 6, 'n_estimators': 100}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5144312393887945,0.5195246179966044,0.01499450062194882,108
17,0.3559246063232422,0.0060477742633283085,0.019981193542480468,0.0016226879708567273,1,6,200,"{'max_depth': 1, 'max_features': 6, 'n_estimators': 200}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5144312393887945,0.5195246179966044,0.01499450062194882,108
18,0.020747900009155273,0.0031622697505559513,0.002228832244873047,0.0038453293964943055,1,7,10,"{'max_depth': 1, 'max_features': 7, 'n_estimators': 10}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5161290322580645,0.5198641765704584,0.014894201833250478,104
19,0.18046493530273439,0.0028575865747500397,0.012942266464233399,0.003233170127384088,1,7,100,"{'max_depth': 1, 'max_features': 7, 'n_estimators': 100}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5161290322580645,0.5198641765704584,0.014894201833250478,104
20,0.3738106250762939,0.009131956686205355,0.020621395111083983,0.0013066249801682928,1,7,200,"{'max_depth': 1, 'max_features': 7, 'n_estimators': 200}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5144312393887945,0.5195246179966044,0.01499450062194882,108
21,0.02244091033935547,0.003744409644979467,0.003943490982055664,0.0023956791529478705,1,8,10,"{'max_depth': 1, 'max_features': 8, 'n_estimators': 10}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5195246179966044,0.5205432937181664,0.01478542686388948,102
22,0.19149408340454102,0.007034475035172683,0.012199878692626953,0.003639886472129955,1,8,100,"{'max_depth': 1, 'max_features': 8, 'n_estimators': 100}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5144312393887945,0.5195246179966044,0.01499450062194882,108
23,0.3856865406036377,0.004869550864007547,0.022642135620117188,0.003239238698056576,1,8,200,"{'max_depth': 1, 'max_features': 8, 'n_estimators': 200}",0.5127334465195246,0.5432937181663837,0.5280135823429541,0.499151103565365,0.5178268251273345,0.5202037351443123,0.01482436669130261,103
