,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.35269732475280763,0.016504338161724707,0.1663145065307617,0.007392073872142764,10,0.01,"{'C': 10, 'gamma': 0.01}",0.5398981324278438,0.5500848896434635,0.565365025466893,0.533106960950764,0.5263157894736842,0.5429541595925296,0.013683831361364947,16
15,0.30737948417663574,0.009273510440668866,0.16141486167907715,0.006417949197157156,10,0.001,"{'C': 10, 'gamma': 0.001}",0.5568760611205433,0.5500848896434635,0.5398981324278438,0.5297113752122241,0.5432937181663837,0.5439728353140916,0.00921199318590869,15
16,0.27746119499206545,0.006434045479553332,0.15888304710388185,0.0022019817813648318,10,0.0001,"{'C': 10, 'gamma': 0.0001}",0.5382003395585738,0.5382003395585738,0.5466893039049237,0.5212224108658744,0.5280135823429541,0.5344651952461799,0.008880609053054005,19
17,0.241378116607666,0.004305288533032319,0.16759562492370605,0.0054713178820841625,10,1e-05,"{'C': 10, 'gamma': 1e-05}",0.5280135823429541,0.5280135823429541,0.5415959252971138,0.5110356536502547,0.5178268251273345,0.5252971137521223,0.010388494764535372,26
18,0.6430551528930664,0.03556336764307424,0.2125493049621582,0.003224079342400637,100,1,"{'C': 100, 'gamma': 1}",0.42105263157894735,0.4244482173174873,0.41935483870967744,0.4159592529711375,0.42784380305602715,0.42173174872665536,0.004102901858605967,45
19,0.4965495586395264,0.029492068858594005,0.1781541347503662,0.0036347628589829114,100,0.1,"{'C': 100, 'gamma': 0.1}",0.44482173174872663,0.4567062818336163,0.4906621392190153,0.43463497453310695,0.4634974533106961,0.4580645161290322,0.019069773965499463,41
20,0.7774943351745606,0.017333696335259694,0.15659475326538086,0.00318000686271328,100,0.01,"{'C': 100, 'gamma': 0.01}",0.49745331069609505,0.5178268251273345,0.5195246179966044,0.5076400679117148,0.4940577249575552,0.5073005093378609,0.010321687031287387,29
21,0.5928997039794922,0.01066241702002432,0.15594758987426757,0.006719474336723023,100,0.001,"{'C': 100, 'gamma': 0.001}",0.565365025466893,0.5891341256366723,0.5857385398981324,0.5382003395585738,0.5551782682512734,0.566723259762309,0.019039518871139135,3
22,0.4704477787017822,0.01744636020341992,0.1628330707550049,0.004671400338953754,100,0.0001,"{'C': 100, 'gamma': 0.0001}",0.533106960950764,0.5398981324278438,0.5449915110356537,0.5212224108658744,0.5229202037351444,0.5324278438030561,0.009274363520371916,23
23,0.3419394016265869,0.018585014071539067,0.1634204387664795,0.005378507322773512,100,1e-05,"{'C': 100, 'gamma': 1e-05}",0.5382003395585738,0.5382003395585738,0.5483870967741935,0.5212224108658744,0.5297113752122241,0.5351443123938879,0.009136586789184158,18
24,0.612741756439209,0.0034686595568974112,0.21633200645446776,0.002690889736832431,500,1,"{'C': 500, 'gamma': 1}",0.42105263157894735,0.4244482173174873,0.41935483870967744,0.4159592529711375,0.42784380305602715,0.42173174872665536,0.004102901858605967,45
25,0.4980180263519287,0.00829238451572308,0.18099617958068848,0.002975304890475424,500,0.1,"{'C': 500, 'gamma': 0.1}",0.44821731748726656,0.4634974533106961,0.4906621392190153,0.43463497453310695,0.4634974533106961,0.4601018675721562,0.018691149669980155,40
26,1.8006093502044678,0.05409617432814703,0.155601167678833,0.007487317800280544,500,0.01,"{'C': 500, 'gamma': 0.01}",0.4685908319185059,0.5025466893039049,0.47198641765704585,0.48217317487266553,0.4940577249575552,0.4838709677419355,0.012885341909005274,31
27,1.517904281616211,0.050750707221388726,0.15757369995117188,0.004734789955861285,500,0.001,"{'C': 500, 'gamma': 0.001}",0.567062818336163,0.5891341256366723,0.5908319185059423,0.5517826825127334,0.5619694397283531,0.5721561969439729,0.01537416831602279,1
28,0.8659765243530273,0.06374831227079579,0.15946297645568847,0.002695864180022416,500,0.0001,"{'C': 500, 'gamma': 0.0001}",0.5568760611205433,0.5738539898132428,0.567062818336163,0.533106960950764,0.5534804753820034,0.5568760611205433,0.013917759953765143,11
29,0.6313137531280517,0.054078272754247585,0.17466950416564941,0.0133185524471111,500,1e-05,"{'C': 500, 'gamma': 1e-05}",0.5382003395585738,0.5382003395585738,0.5432937181663837,0.5212224108658744,0.5297113752122241,0.534125636672326,0.007787670588237485,21
30,0.6527552127838134,0.03250981127387963,0.2571101188659668,0.021551766430231788,1000,1,"{'C': 1000, 'gamma': 1}",0.42105263157894735,0.4244482173174873,0.41935483870967744,0.4159592529711375,0.42784380305602715,0.42173174872665536,0.004102901858605967,45
31,0.5280227661132812,0.021114589110769067,0.22080554962158203,0.027498745846162177,1000,0.1,"{'C': 1000, 'gamma': 0.1}",0.44821731748726656,0.4634974533106961,0.4906621392190153,0.4363327674023769,0.4634974533106961,0.4604414261460102,0.01823527549351111,39
32,2.826081371307373,0.16719653880435498,0.15414900779724122,0.005038941017288274,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.4702886247877759,0.48896434634974534,0.4685908319185059,0.4702886247877759,0.47368421052631576,0.4743633276740238,0.007485707193564898,32
33,2.6552547454833983,0.21888178610847975,0.15460658073425293,0.003746171110994766,1000,0.001,"{'C': 1000, 'gamma': 0.001}",0.5636672325976231,0.5891341256366723,0.5925297113752123,0.5517826825127334,0.5534804753820034,0.570118845500849,0.017426998194032393,2
34,1.1614724159240724,0.12625396589549417,0.15934481620788574,0.004405749799789156,1000,0.0001,"{'C': 1000, 'gamma': 0.0001}",0.5585738539898133,0.5772495755517827,0.568760611205433,0.534804753820034,0.5517826825127334,0.5582342954159593,0.01458126353384304,9
35,0.8600048542022705,0.014973333453682002,0.1661611557006836,0.003303852501711179,1000,1e-05,"{'C': 1000, 'gamma': 1e-05}",0.5382003395585738,0.5382003395585738,0.5483870967741935,0.5212224108658744,0.5195246179966044,0.533106960950764,0.011055226211273117,22
36,0.6346312522888183,0.010360057204752282,0.2306504249572754,0.01108765959701177,2000,1,"{'C': 2000, 'gamma': 1}",0.42105263157894735,0.4244482173174873,0.41935483870967744,0.4159592529711375,0.42784380305602715,0.42173174872665536,0.004102901858605967,45
37,0.5078969478607178,0.004117063676542339,0.1801203727722168,0.0016768483641533103,2000,0.1,"{'C': 2000, 'gamma': 0.1}",0.4533106960950764,0.4634974533106961,0.4906621392190153,0.43463497453310695,0.4634974533106961,0.4611205432937181,0.018146538833123792,36
38,5.699477672576904,0.6540337938972032,0.19392962455749513,0.030098891610785796,2000,0.01,"{'C': 2000, 'gamma': 0.01}",0.44991511035653653,0.4685908319185059,0.45500848896434637,0.47538200339558573,0.47538200339558573,0.46485568760611207,0.010542733240244483,35
39,5.1890054702758786,0.2978243836566123,0.16361961364746094,0.007243758984867836,2000,0.001,"{'C': 2000, 'gamma': 0.001}",0.5585738539898133,0.5857385398981324,0.5925297113752123,0.5483870967741935,0.5466893039049237,0.566383701188455,0.019136166796068416,4
40,1.8041204929351806,0.3033787945684726,0.18265948295593262,0.037685223362634766,2000,0.0001,"{'C': 2000, 'gamma': 0.0001}",0.5585738539898133,0.5823429541595926,0.568760611205433,0.534804753820034,0.5483870967741935,0.5585738539898133,0.0163553067284106,8
41,1.3465411186218261,0.06839836014601985,0.1993788242340088,0.03620959097678063,2000,1e-05,"{'C': 2000, 'gamma': 1e-05}",0.5415959252971138,0.5415959252971138,0.5517826825127334,0.5297113752122241,0.534804753820034,0.5398981324278438,0.007439355619764555,17
42,0.7785465717315674,0.10451617097585701,0.23609395027160646,0.020588495205826937,5000,1,"{'C': 5000, 'gamma': 1}",0.42105263157894735,0.4244482173174873,0.41935483870967744,0.4159592529711375,0.42784380305602715,0.42173174872665536,0.004102901858605967,45
43,0.5804263114929199,0.04378581827210269,0.2356245994567871,0.03079907551446103,5000,0.1,"{'C': 5000, 'gamma': 0.1}",0.4533106960950764,0.4634974533106961,0.4906621392190153,0.43463497453310695,0.4634974533106961,0.4611205432937181,0.018146538833123792,36
44,8.66123046875,0.6212349387052879,0.1535555362701416,0.007780442990761434,5000,0.01,"{'C': 5000, 'gamma': 0.01}",0.42105263157894735,0.4685908319185059,0.4567062818336163,0.45161290322580644,0.466893039049236,0.45297113752122237,0.01716031072121329,42
45,9.696466636657714,0.44886429603499406,0.16907706260681152,0.010437161472820663,5000,0.001,"{'C': 5000, 'gamma': 0.001}",0.5619694397283531,0.5806451612903226,0.5874363327674024,0.5432937181663837,0.5382003395585738,0.5623089983022072,0.019547487897622087,5
46,2.912605571746826,0.4279084374746871,0.16126761436462403,0.0030787587782269143,5000,0.0001,"{'C': 5000, 'gamma': 0.0001}",0.5602716468590832,0.5823429541595926,0.5755517826825127,0.534804753820034,0.5483870967741935,0.5602716468590832,0.017380623282947,7
47,1.6073165893554688,0.11872571923691859,0.16673402786254882,0.003585104438749774,5000,1e-05,"{'C': 5000, 'gamma': 1e-05}",0.5585738539898133,0.5738539898132428,0.5704584040747029,0.5297113752122241,0.5517826825127334,0.5568760611205434,0.015744683353982523,10
48,0.6320268630981445,0.0035346796161908303,0.22503108978271485,0.0029323045132853024,10000,1,"{'C': 10000, 'gamma': 1}",0.42105263157894735,0.4244482173174873,0.41935483870967744,0.4159592529711375,0.42784380305602715,0.42173174872665536,0.004102901858605967,45
49,0.5107753276824951,0.010876920542986968,0.1814943790435791,0.002294211885347396,10000,0.1,"{'C': 10000, 'gamma': 0.1}",0.4533106960950764,0.4634974533106961,0.4906621392190153,0.43463497453310695,0.4634974533106961,0.4611205432937181,0.018146538833123792,36
50,15.544676637649536,1.4753034781891787,0.1458418846130371,0.004974353232069397,10000,0.01,"{'C': 10000, 'gamma': 0.01}",0.42105263157894735,0.45500848896434637,0.4465195246179966,0.4533106960950764,0.44482173174872663,0.44414261460101867,0.01217685641904321,43
51,19.12891206741333,1.0437961047451623,0.14158201217651367,0.013625263042516322,10000,0.001,"{'C': 10000, 'gamma': 0.001}",0.5500848896434635,0.5602716468590832,0.5806451612903226,0.5280135823429541,0.533106960950764,0.5504244482173175,0.01903951887113914,13
52,4.6350208759307865,0.9064251847455098,0.16637082099914552,0.008837137072900366,10000,0.0001,"{'C': 10000, 'gamma': 0.0001}",0.5602716468590832,0.5874363327674024,0.5721561969439728,0.5314091680814941,0.5585738539898133,0.5619694397283531,0.018442751258404427,6
53,2.0129085063934324,0.08774497501311379,0.15977206230163574,0.004148456654518034,10000,1e-05,"{'C': 10000, 'gamma': 1e-05}",0.5585738539898133,0.5721561969439728,0.5704584040747029,0.5280135823429541,0.5500848896434635,0.5558573853989813,0.016092353970896832,12
